seg_route_to,seg_flight,seg_cabin,pax_fcny,emd_lable,gender,age,residence_country,cabin_c_cnt_y2,cabin_c_cnt_y3,pref_aircraft_y1_4,pref_aircraft_y1_5,pref_aircraft_y2_1,pref_aircraft_y2_2,pref_aircraft_y2_3,pref_aircraft_y2_4,pref_aircraft_y2_5,pref_aircraft_y3_1,pref_aircraft_y3_2,pref_aircraft_y3_3,pref_aircraft_y3_4,pref_aircraft_y3_5,pref_city_y2_1,dist_cnt_y3,avg_dist_cnt_y2,avg_dist_cnt_y3,select_seat_cnt_y3,dist_i_cnt_y2,dist_i_cnt_y3,dist_all_cnt_y2,dist_all_cnt_y3,flt_delay_time_m3,flt_delay_time_m6,flt_delay_time_y1,flt_delay_time_y2,pref_orig_city_y2,pref_orig_city_y3,tkt_3y_amt,tkt_avg_amt_y2,tkt_avg_amt_y3,tkt_avg_interval_y3,pit_all_amt,pit_accu_air_amt,pit_now_cons_amt,pit_accu_amt_y3,pit_avg_amt_y2,pit_avg_amt_y3,pit_avg_interval_y2,pit_add_chnl_y2,pit_add_chnl_y3
JFK,AB1006,J,4161.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0
JFK,AB1006,J,1670.0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4986.666667,4986.666667,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,3253.556667,3253.556667,0.0,0,0,0,0,0.0,0.0,0.0,0,0
LAX,AB1009,Y,243.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0
LAX,AB1009,Y,1362.0,0,0,0,0,0,0,0,0,0,0,0,0,0,773,773,773,773,773,0,21675,10808.0,10837.5,0,0,21675,0,21675,0.0,0.0,0.0,0.0,0,Los Angeles,4334.43,0.0,4515.03,0.0,0,0,0,0,0.0,0.0,0.0,0,0
JFK,AB1010,Y,675.0,1,M,0,中国,0,0,0,0,773,33E,325,0,0,773,33E,325,0,0,PVG,28705,0.0,0.0,0,28705,28705,28705,28705,0.0,0.0,0.0,0.0,Shanghai,Shanghai,4392.89,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0
LAX,AB1009,Y,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0
JFK,AB1006,Y,700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0
JFK,AB1006,Y,1222.0,1,0,0,0,0,0,0,0,0,0,0,0,0,773,773,773,773,773,0,37372,0.0,0.0,0,0,37372,0,37372,0.0,0.0,0.0,0.0,0,TORONTO,5484.51,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0
JFK,AB1006,Y,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7684.5,7684.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,313.82,313.82,0.0,0,0,0,0,0.0,0.0,0.0,0,0
LAX,AB1008,Y,302.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6085.75,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,520.24,0.0,0,0,0,0,0.0,0.0,0.0,0,0
JFK,AB1006,Y,652.0,0,0,21-30,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11678.0,12193.6,3,0,0,0,0,-2.0,-2.0,-0.2,0.0,0,0,0.0,3021.678,5351.132,0.0,0,0,0,0,0.0,0.0,0.0,0,0
LAX,AB1008,Y,240.0,0,0,0,0,0,0,0,0,773,738,319,0,0,773,738,319,0,0,PVG,23608,0.0,0.0,0,21675,21675,23608,23608,0.0,0.0,0.0,0.0,Shanghai,Shanghai,1585.62,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0
LAX,AB1008,Y,465.0,1,0,31-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6974.0,6974.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1459.26,1459.26,0.0,0,0,0,0,0.0,0.0,0.0,0,0
LAX,AB1008,Y,150.0,0,M,0,中国,0,0,0,0,773,73H,0,0,0,773,73H,0,0,0,PVG,27869,0.0,0.0,0,27869,27869,27869,27869,0.0,0.0,0.0,0.0,Shanghai,Shanghai,994.5,0.0,0.0,0.0,7984,7984,7984,7984,1996.0,1996.0,0.0,航空累积,航空累积
LAX,AB1008,Y,450.0,1,0,0,0,0,0,0,0,0,0,0,0,0,773,73H,73E,0,0,0,27713,6913.5,6928.25,0,0,27713,0,27713,0.0,0.0,0.0,0.0,0,Shanghai,3021.65,0.0,755.4125,0.0,0,0,0,0,0.0,0.0,0.0,0,0
LAX,AB1008,Y,388.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0
JFK,AB1006,Y,950.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7176.25,7176.25,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0.0,926.7575,926.7575,0.0,0,0,0,0,0.0,0.0,0.0,0,0
LAX,AB1009,Y,111.0,0,M,41-50,中国,0,0,0,0,738,773,73H,323,0,738,773,73H,73E,323,PVG,51047,4030.0,3002.764706,0,44866,44866,48360,51047,0.058823529,0.058823529,0.058823529,0.117647059,Shanghai,Shanghai,6419.0,377.5882353,514.6470588,0.0,0,0,0,0,0.0,0.0,0.0,0,0
LAX,AB1009,Y,215.0,0,0,0,0,0,0,0,0,773,73H,0,0,0,773,73H,0,0,0,PVG,25783,0.0,0.0,0,25783,25783,25783,25783,0.0,0.0,0.0,0.0,Shanghai,Shanghai,1270.86,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0
LAX,AB1009,Y,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,773,73H,33E,0,0,0,14641,0.0,0.0,0,0,12599,0,14641,0.0,0.0,0.0,0.0,0,Los Angeles,813.75,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0
LAX,AB1008,J,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0
LAX,AB1008,Y,470.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0
JFK,AB1006,Y,903.0,0,0,31-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5894.857143,6783.0,2,0,0,0,0,-6.625,-6.625,-6.625,-6.625,0,0,0.0,860.7375,943.12375,0.0,0,0,0,0,0.0,0.0,60.2,0,0
JFK,AB1010,Y,200.0,1,0,31-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5894.857143,6783.0,2,0,0,0,0,-6.625,-6.625,-6.625,-6.625,0,0,0.0,860.7375,943.12375,0.0,0,0,0,0,0.0,0.0,60.2,0,0
