seg_route_to,seg_flight,seg_cabin,pax_fcny,emd_lable,gender,age,residence_country,cabin_c_cnt_y2,cabin_c_cnt_y3,pref_aircraft_y1_4,pref_aircraft_y1_5,pref_aircraft_y2_1,pref_aircraft_y2_2,pref_aircraft_y2_3,pref_aircraft_y2_4,pref_aircraft_y2_5,pref_aircraft_y3_1,pref_aircraft_y3_2,pref_aircraft_y3_3,pref_aircraft_y3_4,pref_aircraft_y3_5,pref_city_y2_1,dist_cnt_y3,avg_dist_cnt_y2,avg_dist_cnt_y3,select_seat_cnt_y3,dist_i_cnt_y2,dist_i_cnt_y3,dist_all_cnt_y2,dist_all_cnt_y3,flt_delay_time_m3,flt_delay_time_m6,flt_delay_time_y1,flt_delay_time_y2,pref_orig_city_y2,pref_orig_city_y3,tkt_3y_amt,tkt_avg_amt_y2,tkt_avg_amt_y3,tkt_avg_interval_y3,pit_all_amt,pit_accu_air_amt,pit_now_cons_amt,pit_accu_amt_y3,pit_avg_amt_y2,pit_avg_amt_y3,pit_avg_interval_y2,pit_add_chnl_y2,pit_add_chnl_y3
0,0,0,4161.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0
0,0,0,1670.0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4986.666667,719,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,3253.556667,3253.556667,0.0,0,0,0,0,0.0,0.0,0.0,0,0
1,1,1,243.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0
1,1,1,1362.0,0,1,1,0,0,0,0,0,0,0,0,0,0,24,27,28,26,25,0,21675,10808.0,2918,0,0,21675,0,21675,0.0,0.0,0.0,0.0,0,47,4334.43,0.0,4515.03,0.0,0,0,0,0,0.0,0.0,0.0,0,0
0,0,0,675.0,1,0,0,1,0,0,0,0,25,9,5,0,0,24,9,5,0,0,46,28705,0.0,0,0,28705,28705,28705,28705,0.0,0.0,0.0,0.0,77,74,4392.89,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0
1,1,1,250.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0
0,0,0,700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0
0,0,0,1222.0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,27,28,26,25,0,37372,0.0,0,0,0,37372,0,37372,0.0,0.0,0.0,0.0,0,84,5484.51,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0
0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7684.5,2293,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,313.82,313.82,0.0,0,0,0,0,0.0,0.0,0.0,0,0
1,1,1,302.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1310,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,520.24,0.0,0,0,0,0,0.0,0.0,0.0,0,0
0,0,0,652.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11678.0,3002,3,0,0,0,0,-2.0,-2.0,-0.2,0.0,0,0,0.0,3021.678,5351.132,0.0,0,0,0,0,0.0,0.0,0.0,0,0
1,1,1,240.0,0,1,1,0,0,0,0,0,25,14,1,0,0,24,14,1,0,0,46,23608,0.0,0,0,21675,21675,23608,23608,0.0,0.0,0.0,0.0,77,74,1585.62,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0
1,1,1,465.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6974.0,1832,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1459.26,1459.26,0.0,0,0,0,0,0.0,0.0,0.0,0,0
