emd_lable2,ffp_nbr,seat_middle_cnt_y3,prebuy_i_cnt_y2_d99,prebuy_i_cnt_y3_d3,prebuy_i_cnt_y3_d7,prebuy_i_cnt_y3_d99,avg_dist_cnt_y2,pit_avg_amt_y2,pit_avg_amt_y3
0,0.0,0,0,0,0,0,0.0,0.0,0.0
0,0.0,0,0,0,0,0,4986.666667,0.0,0.0
0,0.0,0,0,0,0,2,10808.0,0.0,0.0
1,623000000000.0,0,4,0,0,4,0.0,0.0,0.0
1,0.0,0,0,0,1,1,0.0,0.0,0.0
0,0.0,0,0,0,0,0,7684.5,0.0,0.0
0,0.0,0,0,0,0,0,11678.0,0.0,0.0
0,0.0,3,2,0,0,2,0.0,0.0,0.0
0,0.0,0,0,0,0,0,6974.0,0.0,0.0
0,663000000000.0,0,4,0,0,4,0.0,1996.0,1996.0
0,0.0,2,4,0,0,4,0.0,0.0,0.0
0,0.0,4,0,0,0,4,6913.5,0.0,0.0
0,0.0,0,0,0,0,0,7176.25,0.0,0.0
0,633000000000.0,5,1,2,0,1,4030.0,0.0,0.0
0,0.0,2,3,0,0,3,0.0,0.0,0.0
1,0.0,4,3,0,1,3,0.0,0.0,0.0
0,0.0,0,0,0,0,0,5894.857143,0.0,0.0
0,0.0,0,4,0,0,4,7559.75,0.0,0.0
0,0.0,0,0,0,1,0,0.0,0.0,0.0
0,613000000000.0,2,0,0,1,1,0.0,0.0,0.0
0,663000000000.0,1,3,0,0,3,0.0,5579.0,5579.0
0,0.0,2,0,2,0,0,7176.25,0.0,0.0
0,0.0,0,0,0,0,0,5974.25,0.0,0.0
0,0.0,0,0,0,0,0,2764.0,0.0,0.0
0,0.0,0,0,1,0,0,0.0,0.0,0.0
0,653000000000.0,0,2,0,0,2,0.0,8899.0,8899.0
0,624000000000.0,0,1,3,0,1,0.0,10912.75,10912.75
0,0.0,0,0,0,0,0,10128.75,0.0,0.0
0,610000000000.0,0,0,0,0,1,12458.0,5068.636364,5201.615385
0,653000000000.0,0,6,0,0,6,0.0,0.0,0.0
0,0.0,0,0,0,0,0,5975.5,0.0,0.0
1,0.0,0,0,0,0,0,10318.0,0.0,0.0
0,643000000000.0,2,0,0,0,0,6836.5,6380.0,6380.0
0,0.0,0,0,0,0,0,10808.0,0.0,0.0
0,653000000000.0,4,1,0,1,4,0.0,8899.0,8899.0
0,613000000000.0,1,2,0,0,2,0.0,0.0,0.0
0,0.0,0,0,0,0,0,12967.0,0.0,0.0
0,0.0,0,2,0,0,2,0.0,0.0,0.0
0,0.0,2,0,0,0,4,4043.0,0.0,0.0
0,0.0,0,0,0,0,0,7709.333333,0.0,0.0
0,633000000000.0,0,2,0,0,2,0.0,0.0,0.0
0,653000000000.0,4,0,0,0,4,0.0,0.0,0.0
0,0.0,0,0,1,1,0,0.0,0.0,0.0
0,663000000000.0,1,4,0,0,4,0.0,0.0,0.0
1,0.0,0,0,0,0,0,8168.0,0.0,0.0
0,0.0,1,4,0,0,4,0.0,0.0,0.0
1,0.0,1,2,0,0,2,7730.333333,0.0,0.0
0,623000000000.0,0,0,0,0,4,0.0,0.0,0.0
0,0.0,0,4,0,0,6,0.0,0.0,0.0
0,0.0,0,0,0,0,0,5849.1,0.0,0.0
0,660000000000.0,2,0,3,1,0,0.0,12183.0,12183.0
1,601000000000.0,2,4,0,0,4,0.0,4179.0,4179.0
0,0.0,0,0,0,0,0,13162.0,0.0,0.0
0,0.0,0,0,0,0,0,7976.5,0.0,0.0
0,633000000000.0,0,0,0,0,2,0.0,0.0,0.0
0,0.0,0,0,0,0,0,6910.0,0.0,0.0
0,623000000000.0,0,0,0,0,0,0.0,0.0,0.0
