pax_tax,pax_fcny,avg_dist_cnt_m3,seg_flight,tkt_3y_amt,dist_cnt_y3,dist_i_cnt_y3,seat_walkway_cnt_y3,flt_bag_cnt_y1,dist_i_cnt_y2,pref_month_m3_1,seg_route_to,avg_dist_cnt_m6,tkt_avg_amt_y3,emd_lable2
584.43,4161.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
248.8,1670.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,3253.556667,0
301.31,243.0,0.0,AB1009,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
454.16,1362.0,0.0,AB1009,4334.43,21675,21675,1,0,0,0,LAX,0.0,4515.03,0
284.11,675.0,0.0,AB1010,4392.89,28705,28705,4,0,28705,0,JFK,0.0,0.0,1
298.23,250.0,0.0,AB1009,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
292.73,700.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
453.66,1222.0,0.0,AB1006,5484.51,37372,37372,3,0,0,0,JFK,0.0,0.0,1
299.61,200.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,313.82,0
441.96,302.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,520.24,0
454.26,652.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,5351.132,0
299.36,240.0,0.0,AB1008,1585.62,23608,21675,1,0,21675,0,LAX,0.0,0.0,0
225.91,465.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,1459.26,0
280.46,150.0,0.0,AB1008,994.5,27869,27869,0,0,27869,0,LAX,0.0,0.0,0
313200.0,220000.0,0.0,AB1008,1295.24,23713,23713,0,0,23713,0,LAX,0.0,0.0,0
279.86,450.0,0.0,AB1008,3021.65,27713,27713,0,0,0,0,LAX,0.0,755.4125,0
280.43,388.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
283.81,950.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,926.7575,0
454.43,111.0,490.0,AB1009,6419.0,51047,44866,10,4,44866,12,LAX,490.0,514.6470588,0
414.61,215.0,0.0,AB1009,1270.86,25783,25783,1,0,25783,0,LAX,0.0,0.0,0
286.63,300.0,0.0,AB1009,813.75,14641,12599,3,0,0,0,LAX,0.0,0.0,0
460.86,1995.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
450.91,0.0,0.0,AB1006,5060.0,57366,54588,1,2,53772,0,JFK,0.0,0.0,1
282.03,470.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
304.63,903.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,943.12375,0
299.76,200.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,943.12375,0
